"tool_id","purpose","read_write","Revit category","inputs","outputs","side_effects","validation","status","source_file"
"batch_rename","Batch rename elements using find/replace, prefix, suffix, or regex.","WRITE","Generic / input-selected","elementIds?:number; targetCategory?:schema; findText?:schema; replaceText?:schema; prefix?:schema; suffix?:schema; dryRun?:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks; dryRun preview available","KEEP + route through policy/audit wrapper","server/src/tools/batch_rename.ts"
"bulk_modify_parameter_values","Bulk set, prefix, suffix, find/replace, or clear parameter values.","WRITE","Dynamic category/categories","elementIds?:array; categoryName?:string; parameterName:string; operation:enum; value?:string; findText?:string; replaceText?:string; onlyEmpty?:boolean; dryRun?:boolean=true","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks; dryRun preview available","KEEP + route through policy/audit wrapper","server/src/tools/bulk_modify_parameter_values.ts"
"cad_link_cleanup","Analyze and clean up imported/linked CAD files in the model.","MIXED","Generic / input-selected","action?:schema; deleteImports?:schema; deleteLinks?:schema; elementIds?:number","tool/rawTool response wrapping Revit command result or structured error","Depends on action; may mutate Revit","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/cad_link_cleanup.ts"
"calculate_rai","Calculate Rapporto Aeroilluminante (RAI) — window-to-floor area ratio per Italian building code DM 5/7/1975. Checks compliance against minimum threshold (default 1/8 = 0.125). Returns per-room breakdown with window details, areas in m², and compliance status.","READ","Rooms","roomIds?:number; roomNumbers?:string; levelName?:schema; minRatio?:schema=0.125; includeServiceRooms?:schema=false; phaseName?:schema; ratioOverrides?:string","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/calculate_rai.ts"
"change_element_type","Change the family type of one or more elements.","WRITE","Generic / input-selected","elementIds:number; targetTypeId?:schema; targetTypeName?:schema; targetFamilyName?:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/change_element_type.ts"
"check_family_health","Analyze loaded families for file size, import issues, and naming.","READ","Families / types","categories?:array; includeSystemFamilies?:boolean=false; includeFileSize?:boolean=false; sortBy?:enum=""size""","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/check_family_health.ts"
"check_model_health","Comprehensive BIM model health audit. Returns a health score (0-100), grade (A-F), and detailed breakdown: warnings count and top 10 types, in-place families, imported CAD, unplaced rooms, unused views, detail lines. Includes actionable recommendations. Use this to assess model quality before delivery or identify cleanup priorities. GUIDANCE: - Full audit: call with no parameters for comprehensive model health check - Returns health score (0-100), grade (A-F), and specific recommendations - Run periodically during model development for quality assurance TIPS: - Score includes: warnings count, unused families, CAD imports, in-place families - Use audit_families for detailed family-level health analysis - Use get_warnings for the full list of Revit warnings - Address high-impact issues (score deductions > 10 points) first","READ","Generic / input-selected","","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/check_model_health.ts"
"clash_detection","Detect geometric intersections (clashes) between two sets of elements. Specify by category names (e.g., 'Ducts' vs 'StructuralFraming') or specific element IDs. Returns pairs of clashing elements. GUIDANCE: - Check wall-pipe clashes: category1=""Walls"", category2=""Pipes"" - MEP coordination: category1=""Ducts"", category2=""Structural Framing"" - Full model check: provide two categories to check for intersections TIPS: - Returns pairs of clashing element IDs with intersection details - Use operate_element to highlight/isolate clashing elements - Focus on critical clashes (structural vs MEP) first - Combine with section_box_from_selection to zoom into clash locations","READ","Dynamic category/categories","categoryA?:schema; categoryB?:schema; elementIdsA?:number; elementIdsB?:number; tolerance?:schema; maxResults?:schema","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/clash_detection.ts"
"clear_parameter_values","Clear parameter values on elements by category, view, or selection.","WRITE","Dynamic category/categories","parameterName:string; categories?:array; scope?:enum=""whole_model""; filterValue?:string; parameterType?:enum=""instance""; dryRun?:boolean=true","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks; dryRun preview available","KEEP + route through policy/audit wrapper","server/src/tools/clear_parameter_values.ts"
"color_elements","Colorize elements by parameter value with auto or custom colors.","WRITE","Dynamic category/categories","categoryName:schema; parameterName:schema; useGradient?:schema=false; customColors?:object","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/color_elements.ts"
"copy_elements","Copy elements with translation offset, optionally to another level.","WRITE","Generic / input-selected","elementIds:number; sourceViewId:schema; targetViewId:schema; offsetX?:schema; offsetY?:schema; offsetZ?:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/copy_elements.ts"
"create_array","Create linear or radial arrays of elements.","WRITE","Generic / input-selected","elementIds:number; arrayType:schema; count:schema; spacingX?:schema; spacingY?:schema; spacingZ?:schema; centerX?:schema; centerY?:schema; totalAngle?:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_array.ts"
"create_callout_from_rooms","Create callout views from rooms with auto-naming and crop regions.","WRITE","Rooms","roomIds?:array; levelName?:string; offset?:number=300; viewTemplateId?:string; scale?:number=50","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_callout_from_rooms.ts"
"create_color_legend","Color-code elements by parameter and place a color legend on a sheet.","WRITE","Dynamic category/categories","parameterName:string; categories?:array; colorScheme?:enum; customColors?:array; createLegendView?:boolean; legendTitle?:string; targetViewId?:number","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_color_legend.ts"
"create_dimensions","Create dimension lines between references or elements.","WRITE","Dimensions","dimensions?:object=""Linear""","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_dimensions.ts"
"create_door_schedule_by_room","Create a Door Schedule organized by room with family, type, and dimensions","WRITE","Rooms","name?:schema; includeToRoom?:schema=true","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_door_schedule_by_room.ts"
"create_elevations_from_rooms","Create interior elevation views for rooms (N/S/E/W).","WRITE","Rooms","roomIds?:array; viewType?:enum; directions?:array; scale?:number; offset?:number; viewTemplateId?:number; namingPattern?:string","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_elevations_from_rooms.ts"
"create_filled_region","Create a filled region in a view from boundary points.","WRITE","Generic / input-selected","boundaryPoints:object; viewId?:schema; filledRegionTypeName?:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_filled_region.ts"
"create_floor","Create a floor element from boundary points on a level.","WRITE","Floors","boundaryPoints?:schema; roomId?:schema; floorTypeName?:schema; levelElevation?:schema; isStructural?:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_floor.ts"
"create_grid","Create grid lines (linear or arc) with optional naming pattern.","WRITE","Grids","xCount:schema; xSpacing:schema; xStartLabel:schema=""A""; xNamingStyle:schema=""alphabetic""; yCount:schema; ySpacing:schema; yStartLabel:schema=""1""; yNamingStyle:schema=""numeric""; xExtentMin:schema=0; xExtentMax:schema=50000; yExtentMin:schema=0; yExtentMax:schema=50000; elevation:schema=0; xStartPosition:schema=0; yStartPosition:schema=0","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_grid.ts"
"create_level","Create new levels at specified elevations.","WRITE","Levels","data?:object=true","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_level.ts"
"create_line_based_element","Create line-based elements (walls, beams, pipes, ducts, etc.).","WRITE","Generic / input-selected","data?:object","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_line_based_element.ts"
"create_material","Create a new material or duplicate an existing one. Optionally set color, transparency, and class.","WRITE","Materials","name:string; duplicateFrom?:schema; colorR?:schema; colorG?:schema; colorB?:schema; transparency?:schema; shininess?:schema; smoothness?:schema; materialClass?:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_material.ts"
"create_material_takeoff_schedule","Create a Material Takeoff schedule with quantities by category","WRITE","Schedules","name?:schema; categoryName:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_material_takeoff_schedule.ts"
"create_placeholder_sheets","Create multiple placeholder sheets with sequential numbering.","MIXED","Sheets / viewports","action:schema; sheets?:object; sheetIds?:number; titleBlockId?:schema","tool/rawTool response wrapping Revit command result or structured error","Depends on action; may mutate Revit","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_placeholder_sheets.ts"
"create_point_based_element","Place point-based family instances at coordinates.","WRITE","Generic / input-selected","data?:object=false","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_point_based_element.ts"
"create_revision","List, create, or assign revisions to sheets.","MIXED","Generic / input-selected","action?:schema; date?:string; description?:string; issuedBy?:string; issuedTo?:string; sheetIds?:number","tool/rawTool response wrapping Revit command result or structured error","Depends on action; may mutate Revit","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_revision.ts"
"create_room","Create rooms at specified locations with optional parameters.","WRITE","Rooms","data?:object","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_room.ts"
"create_room_finish_schedule","Create a Room Finish Schedule with Number, Name, Level, Area, and finish fields","WRITE","Rooms","name?:schema; levelFilter?:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_room_finish_schedule.ts"
"create_schedule","Create native Revit schedule with all types (regular, key, material takeoff, sheet/view list, etc.), presets, fields, filters, sorting, grouping, and display options.","WRITE","Schedules","categoryName:schema; name?:string; preset?:schema; scheduleType?:schema=""regular""; familyId?:schema; fields?:object; filters?:object; sortFields?:object; groupFields?:object; isItemized?:schema; showGrandTotal?:schema; showGrandTotalCount?:schema; grandTotalTitle?:schema; includeLinkedFiles?:schema; showTitle?:schema; showHeaders?:schema; showGridLines?:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_schedule.ts"
"create_sheet","Create a new sheet with a title block.","WRITE","Sheets / viewports","sheetNumber?:schema; sheetName?:string; titleBlockFamilyName?:schema; titleBlockTypeName?:schema; titleBlockTypeId?:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_sheet.ts"
"create_sheet_list_schedule","Create a Sheet List schedule with sheet numbers, names, and revision info","WRITE","Schedules","name?:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_sheet_list_schedule.ts"
"create_structural_framing_system","Create a beam system from boundary lines on a level.","WRITE","Generic / input-selected","levelName:schema; xMin:schema; xMax:schema; yMin:schema; yMax:schema; spacing:schema; directionEdge:schema=""bottom""; layoutRule:schema=""fixed_distance""; justify:schema=""center""; beamTypeName?:schema; elevation:schema=0; is3d:schema=false","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_structural_framing_system.ts"
"create_surface_based_element","Create surface-based elements (floors, ceilings, roofs) from points.","WRITE","Generic / input-selected","data?:object","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_surface_based_element.ts"
"create_text_note","Create a text note in a view at specified coordinates.","WRITE","Generic / input-selected","textNotes?:object","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_text_note.ts"
"create_view","Create floor plan, ceiling plan, section, elevation, or 3D views.","WRITE","Views","viewType:schema; name?:string; levelElevation?:schema; scale?:schema; detailLevel?:schema; direction?:number; viewFamilyTypeName?:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_view.ts"
"create_view_filter","Create, apply, or list view filters with parameter-based rules.","MIXED","Views","action:schema; filterName?:schema; categoryNames?:string; parameterName?:schema; filterRule?:schema; filterValue?:schema; viewId?:schema; colorR?:number; colorG?:number; colorB?:number; isVisible?:schema","tool/rawTool response wrapping Revit command result or structured error","Depends on action; may mutate Revit","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_view_filter.ts"
"create_view_list_schedule","Create a View List schedule with view names, types, scales, and sheet placement","WRITE","Schedules","name?:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_view_list_schedule.ts"
"create_view_template","Create a new view template from an existing view. Copies all view settings (scale, detail level, visibility, overrides).","WRITE","Views","templateName:string; sourceViewId?:number; sourceViewName?:string","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_view_template.ts"
"create_views_from_rooms","Automatically create Callout, Section, or Elevation views from rooms. Each room gets views fitted to its boundary with configurable offset. Supports custom naming patterns with {RoomNumber}, {RoomName}, {Level} placeholders. GUIDANCE: - Callout views: viewType=""callout"" — creates cropped plan views per room - Section views: viewType=""section"" — creates sections through each room - Elevation views: viewType=""elevation"" — creates 4 interior elevations per room - All rooms: set allRooms=true or provide specific roomIds TIPS: - Use export_room_data first to see available rooms and their IDs - Naming pattern supports: {RoomNumber}, {RoomName}, {Level} placeholders - Apply view templates after creation with apply_view_template - Created views can be placed on sheets with place_viewport","WRITE","Rooms","roomIds?:array; allRooms?:boolean; viewType?:enum; offsetMm?:number; scale?:number; detailLevel?:enum; viewTemplateName?:string; namingPattern?:string","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_views_from_rooms.ts"
"create_window_schedule_by_room","Create a Window Schedule organized by room with family, type, dimensions, and sill/head heights","WRITE","Rooms","name?:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_window_schedule_by_room.ts"
"create_workset","Create a new user workset in the current workshared project.","WRITE","Worksets","name:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/create_workset.ts"
"delete_element","Delete elements by ID with optional dryRun preview.","WRITE","Generic / input-selected","elementIds:number; dryRun?:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks; dryRun preview available","KEEP + route through policy/audit wrapper","server/src/tools/delete_element.ts"
"delete_schedule","Delete a Revit schedule by ID or name. Requires confirm=true to proceed.","WRITE","Schedules","scheduleId?:schema; scheduleName?:schema; confirm:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod plus confirm=true","KEEP + route through policy/audit wrapper","server/src/tools/delete_schedule.ts"
"delete_selection","Delete currently selected elements with optional dryRun preview.","WRITE","Generic / input-selected","name:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/delete_selection.ts"
"delete_workset","Delete a user workset and move its elements to another workset. Requires user confirmation.","WRITE","Worksets","worksetName:string; moveToWorksetName:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/delete_workset.ts"
"duplicate_schedule","Duplicate a Revit schedule by ID or name with a new name.","WRITE","Schedules","scheduleId?:schema; scheduleName?:schema; newName:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/duplicate_schedule.ts"
"duplicate_sheet_with_content","Duplicate a sheet including all annotations and detail items.","WRITE","Sheets / viewports","sheetId:number; copies?:number; duplicateViews?:boolean; keepLegends?:boolean; keepSchedules?:boolean; copyRevisions?:boolean; sheetNumberPrefix?:string; sheetNumberSuffix?:string","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/duplicate_sheet_with_content.ts"
"duplicate_sheet_with_views","Duplicate a sheet and its placed views onto a new sheet.","WRITE","Sheets / viewports","sheetId:number; copies?:number=1; duplicateViews?:boolean=true; keepLegends?:boolean=true; keepSchedules?:boolean=true; newSheetNumberPrefix?:string; viewDuplicateOption?:enum=""DuplicateWithDetailing""","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/duplicate_sheet_with_views.ts"
"duplicate_view","Duplicate a view (independent, dependent, or with detailing).","WRITE","Views","viewIds:number; duplicateOption?:schema; newNamePrefix?:schema; newNameSuffix?:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/duplicate_view.ts"
"export_elements_data","Export elements by category with selected parameters. Returns columns + rows in JSON or CSV. Default limit is 100 elements. Response includes truncated:true and totalCount when results are limited. TOKEN OPTIMIZATION: Always specify parameterNames to return only needed columns — this skips expensive parameter discovery and dramatically reduces response size. GUIDANCE: Core data-extraction workflow: - Export all doors with Mark, Level, Width, Height: categories=[""Doors""], parameterNames=[""Mark"",""Level"",""Width"",""Height""] - Get all walls including type info: categories=[""Walls""], includeTypeParameters=true - Filter rooms with area > 20 m²: categories=[""Rooms""], filterParameterName=""Area"", filterValue=""20"", filterOperator=""greater_than"" - Export ALL parameters of every element in a category: categories=[""Furniture""], parameterNames=[] (omit for all params) - Get a CSV ready for Excel editing: outputFormat=""csv"" QUICK PROMPTS: - ""export all [category] data"" → use that category, omit parameterNames for all params - ""compare [category] type parameters"" → includeTypeParameters=true - ""find elements where [param]=[value]"" → filterParameterName + filterValue + filterOperator - ""edit parameters in bulk"" → export first, then pass rows to sync_csv_parameters","READ","Dynamic category/categories","categories?:string; parameterNames?:string; includeTypeParameters?:schema=false; includeElementId?:schema=true; outputFormat?:schema=""json""; maxElements?:schema=100; filterParameterName?:schema; filterValue?:schema; filterOperator?:schema=""equals""","tool/rawTool response wrapping Revit command result or structured error","No Revit mutation; may write an export file","Zod input schema; command/plugin checks","KEEP","server/src/tools/export_elements_data.ts"
"export_families","Export loaded families as .rfa files to a folder.","READ","Dynamic category/categories","outputDirectory:schema; categories?:string; groupByCategory?:schema=true; overwrite?:schema=false","tool/rawTool response wrapping Revit command result or structured error","No Revit mutation; may write an export file","Zod input schema; command/plugin checks","KEEP","server/src/tools/export_families.ts"
"export_room_data","Export room data from the current Revit project. Returns detailed information about each room including name, number, level, area, volume, perimeter, department, and more. Useful for generating room schedules, space analysis, and facility management data. OPTIMIZATION: - Use 'maxResults' to limit rooms returned (default 100). Response includes truncated flag and totalCount. GUIDANCE: - Get all rooms: returns name, number, area, volume, level, department, boundaries - Use room data for space analysis, area calculations, or BIM validation - Room boundaries can be used with create_floor to auto-generate floors TIPS: - Only returns placed rooms with valid area > 0 - Area and volume are in the project's display units - Combine with create_views_from_rooms to auto-create room views - Use get_elements_in_spatial_volume to find what's inside each room","READ","Rooms","includeUnplacedRooms?:schema=false; includeNotEnclosedRooms?:schema=false; maxResults?:schema=100","tool/rawTool response wrapping Revit command result or structured error","No Revit mutation; may write an export file","Zod input schema; command/plugin checks","KEEP","server/src/tools/export_room_data.ts"
"export_schedule","Export a schedule view to CSV/TSV/TXT.","READ","Schedules","scheduleId:schema; exportPath?:schema; delimiter?:schema; includeHeaders?:schema","tool/rawTool response wrapping Revit command result or structured error","No Revit mutation; may write an export file","Zod input schema; command/plugin checks","KEEP","server/src/tools/export_schedule.ts"
"export_shared_parameter_file","Export the shared parameter file contents as structured data.","READ","Dynamic category/categories","filePath?:string","tool/rawTool response wrapping Revit command result or structured error","No Revit mutation; may write an export file","Zod input schema; command/plugin checks","KEEP","server/src/tools/export_shared_parameter_file.ts"
